PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;CLUSTER;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20161001;00OJ;00;Klimopschool;4335XG;MIDDELBURG; 687;Middelburg;Zeeland;Vso;3/4;Algemeen bijzonder;41312;0;0;0;0;0;0;0;0;0;7;15;14;14;12;10;12;8;2;0;0;0;0;0;94
20161001;00ON;00;Entrea Onderwijs Nijmegen;6574NA;UBBERGEN;1945;Berg en Dal;Gelderland;So;3/4;Rooms-Katholiek;32216;0;0;0;0;7;10;17;29;29;15;2;0;0;0;0;0;0;0;0;0;0;0;0;109
20161001;00ON;01;PI Sch Ubbergen Nijmegen;6574NA;UBBERGEN;1945;Berg en Dal;Gelderland;So;3/4;Rooms-Katholiek;32216;0;0;0;1;8;11;11;16;15;11;0;0;0;0;0;0;0;0;0;0;0;0;0;73
20161001;00ON;02;Paedologisch Instituutschool;6532AL;NIJMEGEN; 268;Nijmegen;Gelderland;So;3/4;Rooms-Katholiek;32216;0;12;18;22;17;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78
20161001;00OQ;00;Korte Vlietsch voor ZMLK;2324CR;LEIDEN; 546;Leiden;Zuid-Holland;So;3/4;Algemeen bijzonder;41805;0;0;3;5;7;11;10;17;11;13;3;0;0;0;0;0;0;0;0;0;0;0;0;80
20161001;00OQ;00;Korte Vlietsch voor ZMLK;2324CR;LEIDEN; 546;Leiden;Zuid-Holland;Vso;3/4;Algemeen bijzonder;41805;0;0;0;0;0;0;0;0;0;1;11;18;6;11;8;9;2;0;0;0;0;0;0;66
20161001;00OS;00;St Maartensch;6574NA;UBBERGEN;1945;Berg en Dal;Gelderland;So;3/4;Rooms-Katholiek;41331;0;14;23;20;25;22;28;33;41;21;7;2;0;0;0;0;0;0;0;0;0;0;0;236
20161001;00PQ;00;De Pels;3571KL;UTRECHT; 344;Utrecht;Utrecht;So;3/4;Openbaar;41400;0;5;18;4;11;18;20;13;26;15;0;0;0;0;0;0;0;0;0;0;0;0;0;130
20161001;00PQ;00;De Pels;3571KL;UTRECHT; 344;Utrecht;Utrecht;Vso;3/4;Openbaar;41400;0;0;0;0;0;0;0;0;0;5;22;29;28;28;12;3;0;0;0;0;0;0;0;127
20161001;00PZ;00;Herman Broerenschool;2612SP;DELFT; 503;Delft;Zuid-Holland;Vso;3/4;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;6;6;16;16;15;14;17;8;0;0;0;0;0;0;98
